               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12193,            0.012842,            0.079674,           0.0016416,             0.14286,           0.0011677,           0.0001311,            0.098571,            0.010899,            0.064941,               2e-05,               2e-05,             0.09982
                   1,             0.11769,            0.014187,            0.079592,           0.0025481,             0.21429,           0.0021773,           0.0003528,             0.09654,            0.011203,            0.064106,          4.9508e-05,          4.9508e-05,             0.09955
                   2,             0.11463,             0.01563,            0.078949,             0.00347,              0.2619,           0.0034408,          0.00069489,            0.093843,            0.011623,            0.063081,          7.6888e-05,          7.6888e-05,            0.099277
                   3,             0.11306,            0.015275,            0.077686,           0.0053812,            0.095238,           0.0049155,           0.0014696,             0.09073,            0.012147,            0.062123,          0.00010055,          0.00010055,            0.099001
                   4,             0.10723,            0.016178,            0.077461,           0.0064975,            0.095238,           0.0069173,           0.0024449,            0.087134,            0.012748,            0.061115,          0.00011916,          0.00011916,            0.098719
                   5,             0.10451,            0.017997,            0.075941,           0.0097045,             0.11905,           0.0079625,           0.0028933,             0.08323,            0.013369,            0.060173,          0.00013175,          0.00013175,            0.098432
                   6,             0.10212,            0.020033,            0.073738,            0.017428,             0.16667,            0.011229,           0.0036495,            0.079189,            0.013962,            0.059381,          0.00013781,          0.00013781,            0.098138
                   7,             0.10047,            0.017217,            0.072582,            0.018026,             0.16667,            0.012628,           0.0036395,            0.074856,            0.014586,             0.05855,          0.00013732,          0.00013732,            0.097837
                   8,            0.098837,            0.019249,            0.069947,            0.018218,             0.19048,            0.013295,           0.0034021,            0.071387,            0.015052,            0.057879,          0.00013077,          0.00013077,            0.097531
                   9,            0.093395,            0.022545,            0.069682,             0.01753,             0.19048,            0.015253,           0.0043562,            0.068776,            0.015333,             0.05713,          0.00011917,          0.00011917,            0.097219
                  10,            0.094411,            0.021373,            0.068307,            0.019647,            0.071429,            0.017127,           0.0046169,            0.066506,            0.015533,            0.056396,            0.000104,            0.000104,            0.096904
                  11,            0.087622,            0.021403,            0.068488,            0.029753,            0.095238,            0.021832,           0.0057045,            0.064361,            0.015651,            0.055761,          8.7112e-05,          8.7112e-05,            0.096587
                  12,            0.085882,            0.022145,            0.066214,            0.030428,            0.095238,            0.025202,            0.006873,            0.062965,            0.015764,            0.055303,          7.0658e-05,          7.0658e-05,            0.096271
                  13,            0.090321,            0.021377,            0.067446,            0.024838,             0.36967,            0.027732,           0.0077531,            0.061751,            0.015839,            0.054374,          5.6951e-05,          5.6951e-05,            0.095957
                  14,            0.088999,            0.019351,            0.066851,            0.035285,             0.16917,             0.02814,           0.0068885,            0.060766,            0.015882,            0.053689,          4.8327e-05,          4.8327e-05,            0.095648
